[2025-04-21 13:57:22.259] [info]  DiscordSplash.signalReady
[2025-04-21 13:57:22.351] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-04-21 13:57:22.353] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-04-21 13:57:22.356] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-04-21 13:57:22.357] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-04-21 13:57:22.358] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-04-21 13:57:22.358] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-04-21 13:57:22.359] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-04-21 13:57:22.359] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-04-21 13:57:22.359] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-04-21 13:57:22.360] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-04-21 13:57:22.360] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-04-21 13:57:22.360] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-04-21 13:57:22.361] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-04-21 13:57:22.361] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-04-21 13:57:22.878] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-04-21 13:57:22.878] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-04-21 13:57:23.259] [info]  Splash.updateCountdownSeconds: undefined
[2025-04-21 13:57:23.509] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-04-21 13:57:23.510] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-04-21 13:57:23.514] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-04-21 13:57:23.516] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-04-21 13:57:23.522] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-04-21 13:57:23.523] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-04-21 13:57:23.527] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-04-21 13:57:23.527] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-04-21 13:57:23.531] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-04-21 13:57:23.532] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-04-21 13:57:23.536] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2025-04-21 13:57:23.536] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
